GHG Reduction;Improve Air Quality;+;2;Reinforcing;The reduction of GHG emissions will aid in improving air quality, as it will decrease the amount of pollutants released into the atmosphere.
GHG Reduction;Improve Water Quality;+;1;Enabling;Reducing GHG emissions can enable the improvement of water quality by decreasing the energy consumption needed for water treatment and increasing the use of renewable energy sources.
GHG Reduction;Noise Reduction;+;1;Enabling;The implementation of GHG reduction targets can enable noise reduction by promoting the use of electric or hybrid vehicles, which are generally quieter than traditional vehicles.
GHG Reduction;Social Security - Sanitation;+;1;Enabling;Reducing GHG emissions can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Biofuels;Improve Air Quality;+;2;Reinforcing;The production and use of biofuels can reinforce the improvement of air quality by providing a cleaner alternative to traditional fossil fuels.
Biofuels;Improve Water Quality;+;1;Enabling;The use of biofuels can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Biofuels;Noise Reduction;+;1;Enabling;The use of biofuels can enable noise reduction by promoting the use of quieter vehicles.
Biofuels;Social Security - Sanitation;+;1;Enabling;The production and use of biofuels can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Other Low-Carbon Fuels;Improve Air Quality;+;2;Reinforcing;The production and use of other low-carbon fuels can reinforce the improvement of air quality by providing cleaner alternatives to traditional fossil fuels.
Other Low-Carbon Fuels;Improve Water Quality;+;1;Enabling;The use of other low-carbon fuels can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Other Low-Carbon Fuels;Noise Reduction;+;1;Enabling;The use of other low-carbon fuels can enable noise reduction by promoting the use of quieter vehicles.
Other Low-Carbon Fuels;Social Security - Sanitation;+;1;Enabling;The production and use of other low-carbon fuels can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Hydrogen Distribution;Improve Air Quality;+;2;Reinforcing;The distribution and use of hydrogen can reinforce the improvement of air quality by providing a cleaner alternative to traditional fossil fuels.
Hydrogen Distribution;Improve Water Quality;+;1;Enabling;The use of hydrogen can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Hydrogen Distribution;Noise Reduction;+;1;Enabling;The use of hydrogen can enable noise reduction by promoting the use of quieter vehicles.
Hydrogen Distribution;Social Security - Sanitation;+;1;Enabling;The production and use of hydrogen can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Urban Mobility;Improve Air Quality;+;2;Reinforcing;The promotion of urban mobility can reinforce the improvement of air quality by reducing the need for personal vehicles and increasing the use of public transport.
Urban Mobility;Improve Water Quality;+;1;Enabling;The promotion of urban mobility can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Urban Mobility;Noise Reduction;+;1;Enabling;The promotion of urban mobility can enable noise reduction by promoting the use of quieter vehicles.
Urban Mobility;Social Security - Sanitation;+;1;Enabling;The promotion of urban mobility can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Transport Logistics;Improve Air Quality;+;2;Reinforcing;The optimization of transport logistics can reinforce the improvement of air quality by reducing emissions from transportation.
Transport Logistics;Improve Water Quality;+;1;Enabling;The optimization of transport logistics can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Transport Logistics;Noise Reduction;+;1;Enabling;The optimization of transport logistics can enable noise reduction by promoting the use of quieter vehicles.
Transport Logistics;Social Security - Sanitation;+;1;Enabling;The optimization of transport logistics can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Rail;Improve Air Quality;+;2;Reinforcing;The promotion of rail transport can reinforce the improvement of air quality by reducing emissions from transportation.
Rail;Improve Water Quality;+;1;Enabling;The promotion of rail transport can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Rail;Noise Reduction;+;1;Enabling;The promotion of rail transport can enable noise reduction by promoting the use of quieter vehicles.
Rail;Social Security - Sanitation;+;1;Enabling;The promotion of rail transport can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Net-Zero Technology - Road Vehicles;Improve Air Quality;+;2;Reinforcing;The development and use of net-zero technology in road vehicles can reinforce the improvement of air quality by reducing emissions from transportation.
Net-Zero Technology - Road Vehicles;Improve Water Quality;+;1;Enabling;The development and use of net-zero technology in road vehicles can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Net-Zero Technology - Road Vehicles;Noise Reduction;+;1;Enabling;The development and use of net-zero technology in road vehicles can enable noise reduction by promoting the use of quieter vehicles.
Net-Zero Technology - Road Vehicles;Social Security - Sanitation;+;1;Enabling;The development and use of net-zero technology in road vehicles can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Net-Zero Technology - Maritime Transport;Improve Air Quality;+;2;Reinforcing;The development and use of net-zero technology in maritime transport can reinforce the improvement of air quality by reducing emissions from transportation.
Net-Zero Technology - Maritime Transport;Improve Water Quality;+;1;Enabling;The development and use of net-zero technology in maritime transport can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Net-Zero Technology - Maritime Transport;Noise Reduction;+;1;Enabling;The development and use of net-zero technology in maritime transport can enable noise reduction by promoting the use of quieter vehicles.
Net-Zero Technology - Maritime Transport;Social Security - Sanitation;+;1;Enabling;The development and use of net-zero technology in maritime transport can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
Net-Zero Technology - Aviation;Improve Air Quality;+;2;Reinforcing;The development and use of net-zero technology in aviation can reinforce the improvement of air quality by reducing emissions from transportation.
Net-Zero Technology - Aviation;Improve Water Quality;+;1;Enabling;The development and use of net-zero technology in aviation can enable the improvement of water quality by reducing the amount of pollutants released into water bodies.
Net-Zero Technology - Aviation;Noise Reduction;+;1;Enabling;The development and use of net-zero technology in aviation can enable noise reduction by promoting the use of quieter vehicles.
Net-Zero Technology - Aviation;Social Security - Sanitation;+;1;Enabling;The development and use of net-zero technology in aviation can enable the improvement of social security and sanitation by increasing access to clean energy and reducing the environmental impacts of energy production.
