GHG Reduction;GHG Removal;+2;The implementation of GHG reduction targets can reinforce the achievement of GHG removal targets by creating conditions that further the removal of greenhouse gases from the atmosphere, such as through carbon capture and storage technologies or nature-based solutions.
GHG Reduction;Improve Air Quality;+1;Reducing greenhouse gas emissions can enable the improvement of air quality by decreasing the emissions of air pollutants, which in turn can create conditions for better air quality management and pollution reduction.
GHG Reduction;Improve Water Quality;+1;The reduction of greenhouse gas emissions can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.
GHG Reduction;Improve Soils Health;+1;Implementing GHG reduction targets can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.
GHG Reduction;Noise Reduction;+1;The implementation of GHG reduction targets can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.
GHG Reduction - Buildings;GHG Removal;+2;The reduction of greenhouse gas emissions from buildings can reinforce the achievement of GHG removal targets by creating conditions that further the removal of greenhouse gases from the atmosphere, such as through carbon capture and storage technologies or nature-based solutions.
GHG Reduction - Transports;Improve Air Quality;+1;Reducing greenhouse gas emissions from transportation can enable the improvement of air quality by decreasing the emissions of air pollutants, which in turn can create conditions for better air quality management and pollution reduction.
GHG Reduction - Transports;Improve Water Quality;+1;The reduction of greenhouse gas emissions from transportation can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.
GHG Reduction - Transports;Improve Soils Health;+1;Implementing GHG reduction targets in transportation can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.
GHG Reduction - Transports;Noise Reduction;+1;The implementation of GHG reduction targets in transportation can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.
GHG Removal;Improve Air Quality;+2;The removal of greenhouse gases from the atmosphere can reinforce the improvement of air quality by reducing the emissions of air pollutants and creating conditions for better air quality management and pollution reduction.
GHG Removal;Improve Water Quality;+2;The removal of greenhouse gases can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.
GHG Removal;Improve Soils Health;+2;Implementing GHG removal targets can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.
GHG Removal;Noise Reduction;+2;The removal of greenhouse gases from the atmosphere can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.
Improve Air Quality;Improve Water Quality;+3;Improving air quality can be indivisible from improving water quality, as reducing air pollutants can also decrease water pollution, thus creating conditions for better water quality management and pollution reduction.
Improve Air Quality;Improve Soils Health;+2;Improving air quality can reinforce the improvement of soil health by reducing the emissions of air pollutants, which can lead to better soil fertility and structure.
Improve Air Quality;Noise Reduction;+2;Improving air quality can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.
Improve Water Quality;Improve Soils Health;+3;Improving water quality can be indivisible from improving soil health, as reducing water pollution can also decrease soil pollution, thus creating conditions for better soil management and fertility.
Improve Water Quality;Noise Reduction;+1;The improvement of water quality can create conditions that further noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.
Improve Soils Health;Noise Reduction;+1;Improving soil health can facilitate noise reduction by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility, thus creating conditions for a decrease in noise pollution.
