TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA1.3 will likely reinforce TA3.3, as reducing GHG emissions can lead to increased recycling and reuse of materials, thereby increasing the circular material use rate.;The EU's transition to a circular economy will require significant reductions in waste and emissions, which can be achieved through the implementation of TA1.3, ultimately supporting the achievement of TA3.3.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union's annual consumption of strategic raw materials;+;1;The implementation of TA1.3 will likely enable TA3.13, as reducing GHG emissions can lead to increased recycling and reuse of materials, thereby increasing the recycling capacity for strategic raw materials.;The EU's transition to a circular economy will require significant investments in recycling technologies, which can be supported by the implementation of TA1.3, ultimately supporting the achievement of TA3.13.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;+;1;The implementation of TA1.3 will likely enable TA3.15, as reducing GHG emissions can lead to increased recycling and reuse of batteries, thereby supporting the achievement of the collection targets for waste batteries.;The EU's transition to a circular economy will require significant reductions in waste and emissions from batteries, which can be achieved through the implementation of TA1.3, ultimately supporting the achievement of TA3.15.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;+;1;The implementation of TA1.3 will likely enable TA3.30, as reducing GHG emissions can lead to increased recycling and reuse of packaging materials, thereby reducing packaging waste.;The EU's transition to a circular economy will require significant reductions in packaging waste, which can be achieved through the implementation of TA1.3, ultimately supporting the achievement of TA3.30.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA1.8 will likely reinforce TA3.3, as achieving energy neutrality in the wastewater treatment sector can lead to increased recycling and reuse of materials, thereby increasing the circular material use rate.;The EU's transition to a circular economy will require significant reductions in energy consumption and emissions from the wastewater treatment sector, which can be achieved through the implementation of TA1.8, ultimately supporting the achievement of TA3.3.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union's annual consumption of strategic raw materials;+;1;The implementation of TA1.9 will likely enable TA3.13, as the EU ETS can support investments in recycling technologies, thereby increasing the recycling capacity for strategic raw materials.;The EU's transition to a circular economy will require significant investments in recycling technologies, which can be supported by the implementation of TA1.9, ultimately supporting the achievement of TA3.13.
TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA1.11 will likely reinforce TA3.3, as reducing emissions from the ESR sectors can lead to increased recycling and reuse of materials, thereby increasing the circular material use rate.;The EU's transition to a circular economy will require significant reductions in emissions from the ESR sectors, which can be achieved through the implementation of TA1.11, ultimately supporting the achievement of TA3.3.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;+;1;The implementation of TA1.13 will likely enable TA3.30, as reducing emissions from the land use sector can lead to increased recycling and reuse of packaging materials, thereby reducing packaging waste.;The EU's transition to a circular economy will require significant reductions in packaging waste, which can be achieved through the implementation of TA1.13, ultimately supporting the achievement of TA3.30.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA3.27;All packaging shall be recyclable;+;1;The implementation of TA1.3 will likely enable TA3.27, as reducing GHG emissions can lead to increased recycling and reuse of packaging materials, thereby supporting the achievement of the recyclability target for packaging.;The EU's transition to a circular economy will require significant reductions in waste and emissions from packaging, which can be achieved through the implementation of TA1.3, ultimately supporting the achievement of TA3.27.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA1.7 will likely reinforce TA3.3, as reducing methane emissions can lead to increased recycling and reuse of materials, thereby increasing the circular material use rate.;The EU's transition to a circular economy will require significant reductions in methane emissions, which can be achieved through the implementation of TA1.7, ultimately supporting the achievement of TA3.3.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;+;1;The implementation of TA1.15 will likely enable TA3.30, as reducing emissions from buildings can lead to increased recycling and reuse of packaging materials, thereby reducing packaging waste.;The EU's transition to a circular economy will require significant reductions in emissions from buildings, which can be achieved through the implementation of TA1.15, ultimately supporting the achievement of TA3.30.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA1.10 will likely reinforce TA3.3, as reducing emissions from the buildings and road transport sectors can lead to increased recycling and reuse of materials, thereby increasing the circular material use rate.;The EU's transition to a circular economy will require significant reductions in emissions from the buildings and road transport sectors, which can be achieved through the implementation of TA1.10, ultimately supporting the achievement of TA3.3.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;+;1;The implementation of TA1.12 will likely enable TA3.30, as reducing emissions from the LULUCF sector can lead to increased recycling and reuse of packaging materials, thereby reducing packaging waste.;The EU's transition to a circular economy will require significant reductions in emissions from the LULUCF sector, which can be achieved through the implementation of TA1.12, ultimately supporting the achievement of TA3.30.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union's annual consumption of strategic raw materials;+;1;The implementation of TA1.7 will likely enable TA3.13, as reducing methane emissions can support investments in recycling technologies, thereby increasing the recycling capacity for strategic raw materials.;The EU's transition to a circular economy will require significant investments in recycling technologies, which can be supported by the implementation of TA1.7, ultimately supporting the achievement of TA3.13.
