TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of 30% of the EU's land area will contribute to the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices, which are essential for achieving the EU's climate ambition of reducing GHG emissions by at least 55% by 2030.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The reduction of IAS will contribute to the reduction of methane emissions, as IAS can lead to the degradation of ecosystems, which in turn can lead to increased methane emissions.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The strict protection of at least a third of the EU's protected areas will contribute to the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices, which are essential for achieving the EU's climate ambition, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.8;5. The decline of pollinators is reversed;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The reversal of the decline of pollinators will contribute to the reduction of GHG emissions from buildings, as pollinators play a crucial role in maintaining ecosystem services, which are essential for food production and security.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The restoration of ecosystems will contribute to the reduction of GHG emissions by promoting sustainable land use practices, which are essential for achieving the EU's climate ambition.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The improvement of pollinator diversity and the reversal of the decline of pollinator populations will contribute to the reduction of methane emissions, as pollinators play a crucial role in maintaining ecosystem services, which are essential for reducing methane emissions.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;2;The protection of 30% of the EU's sea area will contribute to the reduction of GHG emissions from buildings and road transport, as it will promote sustainable practices and reduce the pressure on these sectors.
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The rebuilding and maintenance of fish stocks will contribute to the reduction of GHG emissions by promoting sustainable fishing practices, which are essential for achieving the EU's climate ambition.
TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The knowledge of the condition of ecosystems will contribute to the reduction of methane emissions, as it will allow for the identification of areas that require restoration and the implementation of effective measures to reduce methane emissions.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The knowledge of the condition of marine ecosystems will contribute to the reduction of GHG emissions, as it will allow for the identification of areas that require restoration and the implementation of effective measures to reduce GHG emissions, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.16;14. Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The implementation of Urban Greening Plans will contribute to the reduction of GHG emissions from buildings, as it will promote sustainable urban planning and the integration of green spaces, which are essential for reducing energy consumption and GHG emissions.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;2;The preservation of urban green spaces and tree canopy cover will contribute to the reduction of GHG emissions from buildings and road transport, as it will promote sustainable practices and reduce the pressure on these sectors.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The increase in urban green spaces will contribute to the reduction of methane emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for reducing methane emissions.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The increase in urban tree canopy cover will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
