TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The implementation of TA6.1 could reinforce TA4.1 by providing a larger area for sustainable biomethane production, thus increasing the potential for achieving the target of 35 billion cubic meters by 2030.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;1;The reduction of IAS could enable the growth of new biofuels, which would be in line with the EU's renewable energy targets, thus facilitating the achievement of the advanced biofuels target.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;-;-2;The strict protection of EU protected areas might limit the areas available for SAF production, thus counteracting the aviation fuel target.
TA6.8;5. The decline of pollinators is reversed;TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;+;3;The reversal of the decline of pollinators could lead to an increase in food production, thus reducing the need for synthetic fertilizers and lowering emissions from the transport sector.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;-;-1;The restoration of ecosystems might compete with the deployment of hydrogen refuelling stations, as it could require large areas of land.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;2;The improvement of pollinator diversity could lead to an increase in the production of SAF, thus facilitating the achievement of the SAF target.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;-;-3;The protection of 30% of the EU's sea area might limit the areas available for shore-side electricity supply, thus counteracting the shore-side electricity target.
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels;TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The rebuilding of fish stocks could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;-;-2;The monitoring of ecosystem conditions might compete with the deployment of recharging stations, as it could require significant resources.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;-;-1;The monitoring of marine ecosystem conditions might compete with the deployment of recharging pools, as it could require large areas of land.
TA6.16;14. Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;+;2;The implementation of urban greening plans could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
