;GHG Reduction;GHG Reduction - Transports;+;2;The implementation of GHG reduction targets in List A can reinforce the achievement of GHG reduction targets in the transport sector in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;Renewable Energy;+2;The implementation of GHG reduction targets can aid the achievement of renewable energy targets by reducing energy consumption and increasing energy efficiency, thereby creating a more favorable environment for the integration of renewable energy sources.;Waste Reduction - Municipal Waste;Reinforcing;The implementation of GHG reduction targets can reinforce waste reduction efforts in municipal waste by promoting sustainable practices and reducing emissions from waste management.
0;GHG Reduction;Energy Efficiency;+;1.0;The implementation of GHG reduction targets in List A can enable the achievement of energy efficiency targets in List B by promoting the use of renewable energy sources and reducing energy consumption in buildings and industry.;;;;;;
1;GHG Reduction;Biofuels;+;1.0;The implementation of GHG reduction targets in List A can enable the achievement of biofuels targets in List B by promoting the use of sustainable biofuels and reducing GHG emissions from transport.;;;;;;
2;GHG Reduction - Buildings;GHG Reduction - Transports;+;2.0;The implementation of GHG reduction targets in buildings in List A can reinforce the achievement of GHG reduction targets in the transport sector in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;;;;;;
3;Methane;GHG Reduction - Transports;+;1.0;The implementation of methane reduction targets in List A can enable the achievement of GHG reduction targets in the transport sector in List B by reducing methane emissions from transport and promoting the use of low-carbon fuels.;;;;;;
4;Energy Efficiency;GHG Reduction - Transports;+;1.0;The implementation of energy efficiency targets in List A can enable the achievement of GHG reduction targets in the transport sector in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;;;;;;
5;GHG Removal;GHG Reduction;+;3.0;The implementation of GHG removal targets in List A can be indivisible from the achievement of GHG reduction targets in List B, as removing GHG from the atmosphere is essential for reducing net GHG emissions.;;;;;;
6;GHG Reduction - Buildings;Energy Efficiency;+;1.0;The implementation of GHG reduction targets in buildings in List A can enable the achievement of energy efficiency targets in List B by promoting the use of renewable energy sources and reducing energy consumption in buildings.;;;;;;
7;GHG Reduction;Net-Zero Technology - Road Vehicles;+;2.0;The implementation of GHG reduction targets in List A can reinforce the achievement of net-zero technology targets in road vehicles in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;;;;;;
8;GHG Reduction - Transports;Hydrogen Distribution;+;1.0;The implementation of GHG reduction targets in the transport sector in List A can enable the achievement of hydrogen distribution targets in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;;;;;;
9;Biofuels;Urban Mobility;+;1.0;The implementation of biofuels targets in List A can enable the achievement of urban mobility targets in List B by promoting the use of sustainable biofuels and reducing GHG emissions from transport.;;;;;;
10;Other Low-Carbon Fuels;GHG Reduction - Transports;+;1.0;The implementation of other low-carbon fuels targets in List A can enable the achievement of GHG reduction targets in the transport sector in List B by promoting the use of low-carbon fuels and increasing energy efficiency in vehicles.;;;;;;
11;GHG Reduction;;;;;Energy Efficiency;2.0;The implementation of GHG reduction targets can reinforce energy efficiency measures by promoting the use of energy-efficient technologies and practices, which in turn can support the transition to a low-carbon economy.;;;
12;GHG Reduction;;;;;Renewable Energy - Hydrogen Production;1.0;The implementation of GHG reduction targets can create conditions that further the development of renewable energy sources, including hydrogen production, by setting a framework for low-carbon energy production.;;;
13;GHG Reduction - Buildings;;;;;Energy Efficiency - Buildings;3.0;The implementation of GHG reduction targets in buildings is inextricably linked to energy efficiency measures in buildings, as reducing energy consumption in buildings is essential to achieving GHG reduction targets.;;;
14;GHG Reduction - Transports;;;;;Energy Efficiency;2.0;The implementation of GHG reduction targets in the transport sector can aid the achievement of energy efficiency targets by promoting the use of energy-efficient vehicles and fuels, which can reduce energy consumption and GHG emissions.;;;
15;Methane;;;;;Renewable Energy - Heating & Cooling;1.0;Reducing methane emissions can create conditions that further the development of renewable energy sources for heating and cooling, as methane is a potent GHG and its reduction can support the transition to a low-carbon economy.;;;
16;Energy Efficiency;;;;;Renewable Energy;2.0;Improving energy efficiency can reinforce the development of renewable energy sources by reducing energy consumption and increasing the potential for renewable energy production.;;;
17;GHG Removal;;;;;Renewable Energy - Ocean/Offshore;1.0;The implementation of GHG removal targets can create conditions that further the development of renewable energy sources, including offshore wind and ocean energy, by setting a framework for low-carbon energy production.;;;
18;GHG Reduction - Buildings;;;;;Renewable Energy - Solar;1.0;The implementation of GHG reduction targets in buildings can create conditions that further the development of solar energy production, as reducing energy consumption in buildings can support the integration of solar energy into the energy mix.;;;
19;GHG Reduction;;;;;;1.0;;Critical Raw Materials - Extraction & Import;Enabling;The achievement of GHG reduction targets can enable the extraction and import of critical raw materials by creating conditions that support sustainable resource management and reduce emissions from extraction and transportation processes.
20;GHG Reduction;;;;;;3.0;;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Indivisible;The implementation of GHG reduction targets is inextricably linked to the recycling of critical raw materials from batteries, as it requires the development of closed-loop production processes and the design of products for recyclability and reusability.
21;GHG Reduction;;;;;;1.0;;Waste Reduction - Food Waste;Enabling;The implementation of GHG reduction targets can enable the reduction of food waste by promoting sustainable food systems, reducing emissions from agriculture and land use, and encouraging the adoption of climate-resilient agricultural practices.
22;GHG Reduction;;;;;;2.0;;Circularity/Recycling - Plastic & Packaging;Reinforcing;The achievement of GHG reduction targets can reinforce efforts to reduce plastic and packaging waste by promoting the use of biodegradable and compostable materials, reducing emissions from production and transportation, and encouraging the recycling and reuse of plastic and packaging materials.
23;GHG Reduction;;;;;;1.0;;Circularity/Recycling - Municipal Waste;Enabling;The implementation of GHG reduction targets can enable the recycling and reuse of municipal waste by promoting sustainable waste management practices, reducing emissions from waste management, and encouraging the adoption of climate-resilient waste management technologies.
24;GHG Reduction;;;;;;2.0;;Circularity/Recycling - Vehicle Circularity;Reinforcing;The achievement of GHG reduction targets can reinforce efforts to promote vehicle circularity by encouraging the design of vehicles for recyclability and reusability, reducing emissions from production and transportation, and promoting the recycling and reuse of vehicle materials.
25;Methane;;;;;;1.0;;Waste Reduction - Municipal Waste;Enabling;The reduction of methane emissions can enable the reduction of municipal waste by promoting the adoption of climate-resilient waste management practices, reducing emissions from landfills, and encouraging the recycling and reuse of organic waste.
26;Energy Efficiency;;;;;;1.0;;Critical Raw Materials - Extraction & Import;Enabling;The implementation of energy efficiency measures can enable the extraction and import of critical raw materials by reducing energy consumption and emissions from extraction and transportation processes, and promoting the use of renewable energy sources.
27;Energy Efficiency;;;;;;2.0;;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Reinforcing;The implementation of energy efficiency measures can reinforce efforts to recycle critical raw materials from batteries by reducing energy consumption and emissions from recycling processes, and promoting the design of products for recyclability and reusability.
28;Energy Efficiency;;;;;;1.0;;Waste Reduction - Food Waste;Enabling;The implementation of energy efficiency measures can enable the reduction of food waste by promoting sustainable food systems, reducing energy consumption and emissions from agriculture and land use, and encouraging the adoption of climate-resilient agricultural practices.
29;Energy Efficiency;;;;;;2.0;;Circularity/Recycling - Plastic & Packaging;Reinforcing;The implementation of energy efficiency measures can reinforce efforts to reduce plastic and packaging waste by promoting the use of energy-efficient production processes, reducing energy consumption and emissions from production and transportation, and encouraging the recycling and reuse of plastic and packaging materials.
30;Energy Efficiency;;;;;;1.0;;Circularity/Recycling - Municipal Waste;Enabling;The implementation of energy efficiency measures can enable the recycling and reuse of municipal waste by promoting sustainable waste management practices, reducing energy consumption and emissions from waste management, and encouraging the adoption of climate-resilient waste management technologies.
31;Energy Efficiency;;;;;;2.0;;Circularity/Recycling - Vehicle Circularity;Reinforcing;The implementation of energy efficiency measures can reinforce efforts to promote vehicle circularity by encouraging the design of vehicles for recyclability and reusability, reducing energy consumption and emissions from production and transportation, and promoting the recycling and reuse of vehicle materials.
32;GHG Removal;;;;;;1.0;;Waste Reduction - Municipal Waste;Enabling;The implementation of GHG removal measures can enable the reduction of municipal waste by promoting sustainable waste management practices, reducing emissions from landfills, and encouraging the recycling and reuse of organic waste.
33;GHG Removal;;;;;;1.0;;Critical Raw Materials - Extraction & Import;Enabling;The implementation of GHG removal measures can enable the extraction and import of critical raw materials by promoting sustainable resource management and reducing emissions from extraction and transportation processes.
34;GHG Removal;;;;;;3.0;;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Indivisible;The implementation of GHG removal measures is inextricably linked to the recycling of critical raw materials from batteries, as it requires the development of closed-loop production processes and the design of products for recyclability and reusability.
35;GHG Removal;;;;;;1.0;;Waste Reduction - Food Waste;Enabling;The implementation of GHG removal measures can enable the reduction of food waste by promoting sustainable food systems, reducing emissions from agriculture and land use, and encouraging the adoption of climate-resilient agricultural practices.
36;GHG Removal;;;;;;2.0;;Circularity/Recycling - Plastic & Packaging;Reinforcing;The implementation of GHG removal measures can reinforce efforts to reduce plastic and packaging waste by promoting the use of biodegradable and compostable materials, reducing emissions from production and transportation, and encouraging the recycling and reuse of plastic and packaging materials.
37;GHG Removal;;;;;;1.0;;Circularity/Recycling - Municipal Waste;Enabling;The implementation of GHG removal measures can enable the recycling and reuse of municipal waste by promoting sustainable waste management practices, reducing emissions from waste management, and encouraging the adoption of climate-resilient waste management technologies.
38;GHG Removal;;;;;;2.0;;Circularity/Recycling - Vehicle Circularity;Reinforcing;The implementation of GHG removal measures can reinforce efforts to promote vehicle circularity by encouraging the design of vehicles for recyclability and reusability, reducing emissions from production and transportation, and promoting the recycling and reuse of vehicle materials.
