Target code;Target content;NACE Level 1;NACE Level 1 extra1;NACE Level 1 extra2;NACE Level 2;NACE Level 2 extra1;NACE Level 2 extra2;NACE Level 3;NACE Level 3 extra1;NACE Level 3 extra2;Justification
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;;D35 - Electricity, gas, steam and air conditioning supply;C24 - Manufacture of basic metals;;D35.1 - Electric power generation, transmission and distribution;;;"The target involves reducing emissions, which are significant in the energy and manufacturing sectors covered by the EU ETS."
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.1 - Silviculture and other forestry activities;;;"This target is related to land use, forestry, and agriculture sectors for carbon sequestration."
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1.5%);D - Electricity, Gas, Steam and Air Conditioning Supply;;;D35 - Electricity, gas, steam and air conditioning supply;;;D35.1 - Electric power generation, transmission and distribution;;;"The target focuses on renewable energy, relevant to the electricity supply sector."
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;F - Construction;;;F41 - Construction of buildings;;;F41.2 - Construction of residential and non-residential buildings;;;"The target pertains to building renovation, directly involving the construction sector."
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C - Manufacturing;;;C13 - Manufacture of textiles;;;C13.9 - Manufacture of other textiles;;;"This target is focused on the manufacturing of textiles, emphasizing sustainability and recycling."
TA3.33;Recycling of wood in packaging,30%;C - Manufacturing;;;C16 - Manufacture of wood and of products of wood and cork, except furniture;;;C16.2 - Manufacture of products of wood, cork, straw and plaiting materials;;;"The target is about recycling wood products, relevant to wood product manufacturing."
TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union;C - Manufacturing;H - Transportation and Storage;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;;C29.1 - Manufacture of motor vehicles;;;"The target focuses on emissions from vehicles, relevant to vehicle manufacturing and transport sectors."
TA4.28;by 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed;H - Transportation and Storage;;;H52 - Warehousing and support activities for transportation;;;H52.2 - Support activities for transportation;;;"The target is about infrastructure for electric vehicles, linked to the transportation and warehousing sector."
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;I - Accommodation and Food Service Activities;;P85 - Education;I56 - Food and beverage service activities;;P85.6 - Educational support activities;;;"The target is educational but related to food services, focusing on sustainable food practices."
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;A - Agriculture, Forestry and Fishing;;;A1 - Crop and animal production, hunting and related service activities;;;A1.4 - Animal production;;;"The target is focused on agriculture and food production resilience, relevant to the agriculture sector."
TA6.29;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"No content was provided for this target."
TA7.12;Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites, so that soil pollution will no longer pose a health or environmental risk (target in common with the Biodiversity Strategy);E - Water Supply; Sewerage, Waste Management and Remediation Activities;;;E39 - Remediation activities and other waste management services;;;E39.0 - Remediation activities and other waste management services;;;"The target addresses soil remediation, relevant to waste management and remediation services."
