thematic_area;expert;job_description;;
Thematic area 1. CLIMATE AMBITION ; Barbero Vignola Giulia;To carry out research activity related to the design, development and implementation of knowledge management tools, to organise information on policies, indicators, methods and data to support the monitoring and implementation of the SDGs. To contribute to research activities of Portfolio 1 in the context of the assessment of the sustainability, fairness and competitiveness of the green transition.To identify indicators, information, data and develop analytical tools within the context of a science-policy interface for the European Green Deal and the SDGs. To contribute to carry out a research activity which will allow the design of new narratives for sustainable development and green transition pathways which will ensure that environment, the society and sustainable development are integrated in all levels and in all countries.;;
Thematic area 1. CLIMATE AMBITION ; Borchardt Steve;Development of tools, databases and web-based platforms in support of SDGs.;;
Thematic area 1. CLIMATE AMBITION ; Bosco Simona;Contribute to the implementation of the institutional, research and development activities on the basis of the work programme of the Food Security Unit at the Directorate Sustainable Resources. More specifically, to contribute to the development and implementation of methodologies for agri-environment assessment, to give support in the quantification in agri-environmental indicators in the EU at the regional and farm level using agro-economic models and farm level tools. Contribute to the quality assessment and implementation of methodologies to quantify agricultural greenhouse gas and other environmental emissions from agriculture and other food supply chain sources in the EU at different scales;;
Thematic area 1. CLIMATE AMBITION ; Contipelli Louisa;;;
Thematic area 1. CLIMATE AMBITION ; Delgado Callico Laia;To carry out scientific and technical tasks being a part of the Energy Research Innovation and Competitiveness for the Green Transition team and support the Commission’s policymaking underpinning the delivery of the European Green Deal. The focus will be on gap analysis of the progress towards targets set in the Energy Union Governance (the Energy Dimension of the Green Deal) while working in parallel with colleagues from other domains to assess impacts across interlinked policy-areas, addressing synergies and trade-offs under a systemic approach.;;
Thematic area 1. CLIMATE AMBITION ; Dentener Frank;To lead and manage directorate D and unit D.5 cross cutting activities on sustainable agriculture, land-use change, climate change and environment. Aiming to provide harmonized information to agricultural, climate policy and related environmental policies, the Senior Expert will develop a pro-active research agenda to shape future policies, in concert with to the key European and global stakeholders. The Senior Expert will further assist and advise the Unit Head and other hierarchy in integrating the wide portfolio of activity both within and external to the JRC.;;
Thematic area 1. CLIMATE AMBITION ; Dowling Paul;Research and analysis in the field of energy and climate economics and policy. Development and use of quantitative tools, models and evaluation methodologies in support of DG CLIMA, DG ENER and DG MOVE in the context of EU Green Deal, with a special focus on decarbonizing sectors.Assessment of policy measures in the field of energy-intensive sectors, focusing primarily on the decarbonisation and climate-neutrality objectives, taking into consideration to overall energy system.Development of methods and tools to enhance the representation of carbon-intensive sectors in the in-house energy and climate modelling tools (among which the POTEnCIA and POLES models.Support to the maintenance of EU-wide energy databases, indicators and models.;;
Thematic area 1. CLIMATE AMBITION ; Gastaldi Chiara;Contribute to carry out a gap analysis of the EU Green Deal, tracking how EU policies are delivering on the headline Green Deal ambitions and with respect to the SDGs and the limits of planetary boundaries. The job-holder is expected to contribute to the future-oriented perspective of the study, looking at solutions for green transitions, barriers to implementation, and their trade-offs.;;
Thematic area 1. CLIMATE AMBITION ; Grassi Giacomo;To assist the Unit Head in the management of the Forest emissions in EU (FOREM) project as scientific responsible by planning, executing, monitoring and reporting the different activities of the project.;;
Thematic area 1. CLIMATE AMBITION ; Korosuo Anu;To carry out scientific research and project management activities in support of the further development of the Knowledge Centre for Bioeconomy, contributing to the implementation of the EU Bioeconomy Strategy and Action Plan.;;
Thematic area 1. CLIMATE AMBITION ; Manca Giovanni;To provide leadership to the team that deals with greenhouse gas verification system based on emission inventories, atmospheric flux and concentration measurements and their linkage via inverse modelling and to supervise the CAs allocated to the team.Responsible for the overall JRC contribution to the Integrated Carbon Observation System (ICOS) European Research Infrastructure Consortium (ERIC) and responsible to carry out activities at scientific and technical level as well as including management of the JRC ICOS infrastructures.;;
Thematic area 1. CLIMATE AMBITION ; Marelli Luisa;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 1. CLIMATE AMBITION ; Migliavacca Mirco;To carry out scientific research activities in the areas of the bioeconomy, in support to the EU Bioeconomy Strategy and related policies, and for delivering on the Green Deal .;;
