target_code;thematic_area;colour_tag;target_content;   
TA1.1;TA1_Climate_ambition;#orange;Climate Neutrality (2040 target under discussion);   
TA1.2;TA1_Climate_ambition;;2040 target under discussion;   
TA1.3;TA1_Climate_ambition;#orange;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);   
TA1.4;TA1_Climate_ambition;;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;   
TA1.5;TA1_Climate_ambition;;CBAM;   
TA1.6;TA1_Climate_ambition;;Recast;   
TA1.7;TA1_Climate_ambition;#orange;Reduce methane emissions of 35% if compared to 2005 levels;   
TA1.8;TA2_Clean_affordable_and_secure_energy;#green;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);   
TA1.9;TA1_Climate_ambition;#orange;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);   
TA1.10;TA1_Climate_ambition;#orange;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;   
TA1.11;TA1_Climate_ambition;#green;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);   
TA1.12;TA1_Climate_ambition;#red;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;   
TA1.13;TA1_Climate_ambition;#orange;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions  from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;   
TA1.14;TA1_Climate_ambition;#orange;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);   
TA1.15;TA1_Climate_ambition;#orange;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;   
TA1.16;TA1_Climate_ambition;#orange;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;   
TA2.1;TA2_Clean_affordable_and_secure_energy;#orange;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;   
TA2.2;TA2_Clean_affordable_and_secure_energy;#orange;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;   
TA2.3;TA2_Clean_affordable_and_secure_energy;#red;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;   
TA2.4;TA2_Clean_affordable_and_secure_energy;#orange;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;   
TA2.5;TA2_Clean_affordable_and_secure_energy;#orange;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;   
TA2.6;TA2_Clean_affordable_and_secure_energy;#orange;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);   
TA2.7;TA2_Clean_affordable_and_secure_energy;#orange;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;   
TA2.8;TA2_Clean_affordable_and_secure_energy;#grey;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;   
TA2.9;TA2_Clean_affordable_and_secure_energy;#orange;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;   
TA4.1;TA4_Sustainable_and_smart_mobility;#orange;"*The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030, set out in the SWD(2022) 230 of 18 May 2022 accompanying the REPowerEU Plan
Taken from Directive (EU) 2023/2413 as regards the promotion of energy from renewable sources
";   
TA2.10;TA2_Clean_affordable_and_secure_energy;;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;   
TA2.11;TA2_Clean_affordable_and_secure_energy;;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects,  by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project;   
TA2.12;TA2_Clean_affordable_and_secure_energy;#orange;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;   
TA2.13;TA2_Clean_affordable_and_secure_energy;#orange;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State,;   
TA2.14;TA2_Clean_affordable_and_secure_energy;#orange;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;   
TA2.15;TA2_Clean_affordable_and_secure_energy;#green;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;   
TA2.16;TA2_Clean_affordable_and_secure_energy;#orange;Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020;   
TA2.17;TA2_Clean_affordable_and_secure_energy;#orange;the Union’s 2030 targets for energy and climate” means the Union-wide binding target for reducing greenhouse gas emissions in 2030 referred to in Article 4(1) of Regulation (EU) 2021/1119, the Union’s binding target for renewable energy for 2030 set in Article 3(1) of Directive (EU) 2018/2001, the Union-level target for improving energy efficiency in 2030 referred to in Article 4(1) of Directive (EU) .../... of the European Parliament and of the Council*+ and the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.;   
