target_code;target_content;target_assessment;sub_theme
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;"The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level. Specific legislation covering different sectors translates this into sectoral ambition levels which cumulatively achieve the -55% target. This corresponds to greenhouse gas reductions of 62% in the existing ETS compared to 2005, a 40% reduction in ESR, (this is now complemented by 42% reduction target compared to 2005 in the newly established ETS2). With the aim of ensuring strong emissions reduction in other sectors, the overall contribution of the LULUCF sector to EU’s economy-wide target of − 55% by 2030 is limited to a maximum of − 225 MtCO2e/year. Achieving the LULUCF sector target of -310 MtCO2e in 2030 will elevate the total EU GHG emission reduction to approximately 57% compared to 1990. The total net EU greenhouse gases emissions, including LULUCF, were reduced by 32.5% between 1990 and 2022 [21]. GHG emission reductions need to double in the current decade compared to the previous decades (see charts in the annexes).
According to the Member States’ own projections reported in 2023 under Article 18 of the Governance of the Energy Union Regulation, total EU emissions are expected to fall in 2030 by about 50% below the 1990 level when factoring in additional measures. This falls short of the at least 55% objective, but the Member States projections do not accurately capture the evolution driven by EU-wide instruments such as the ETS.
Reaching the -55 % objective further depends on delivery of ESR, which is not fully on track, as well as the related functioning of ETS2. In addition, the -55% objective assumes that the LULUCF sink is at least -225 MtCO2e. The agreed LULUCF commitment of -310 MtCO2e could even achieve -57%. However, the current development of the LULUCF sink is opposite to the targets, including natural disturbances that are expected to further increase with the ongoing climate change [27], [28]. If this negative development continues, the risk of not reaching the sink of –225 MtCO2 cannot be ruled out.
On the other hand, the implementation of the complete Fit for 55 legislative package is expected to reduce EU net greenhouse gas emissions by 57% by 2030, putting EU on track to exceed 2030 targets [29].
On the way to climate neutrality by 2050, the Commission adopted a Communica- tion [23] in February 2024 that launches the process of setting the 2040 climate target for the EU, in compliance with Art. 4.3 of the Climate Law. While 2040 targets are not yet set, it is clear that much of the transition to 2050 has to be realised
by 2040. Based on the recommended emission reductions of 90-95 % by 2040 compared to 1990, of the European Scientific Advisory Board on Climate Change advised, the Commission has recommended a net 90% GHG reduction target for 2040.
Both 2040 and 2050 targets require a much deeper transformation of the energy system, through large scale deployment of climate-neutral technologies that require high investment efforts with some technologies not yet deployed at market scale. While some of the current instruments will keep delivering reductions well beyond 2030 (notably the EU ETS but also CO2 standards for vehicles, ReFuelEU Aviation, FuelEU Maritime and the Fluorinated gas (F-gas) Regulation), there will be a need
to review, update and complete the legislative framework for the post-2030 period. This will include topics such as carbon capture, industrial carbon removals, and overall and sector specific emission reduction trajectories. In addition, larger emis- sion reductions in difficult-to-abate sectors like agriculture will be needed, along with a larger role for carbon removals, including utilising land as a carbon sink.";GHG emissions
TA1.7;"Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030
An EU Strategy to reduce methane emissions";"Methane emissions were 497.15 MtCO2e in 2005 and decreased to 394.37 MtCO2e in 2022, making a reduction of about 20.67%. However, acceleration is needed to reach at least a 35% reduction by 2030.
The largest source of methane emissions in the EU is the agriculture sector, accounting for more than half of the total emissions, followed by the energy and waste sectors. Within agriculture, almost all methane emissions are from livestock: 80% of the total stems from enteric fermentation and 18% from manure man- agement. Furthermore, the energy sector showed the highest decline in emissions, primarily due to the mitigation of fugitive emissions from fuels, including emis- sions from the extraction of solid fuels and those associated with oil and natural gas production and distribution.
Most methane emissions from the waste sector come from solid waste disposal.
GHG Emissions
   ";GHG emissions
TA1.8;"Reach energy neutrality in the wastewater treatment sector by 2045.
Directive concerning urban wastewater";"There is a considerable potential for reducing fossil fuel-based energy use and GHG emissions in wastewater treatment and market incentives are increasingly attractive for investments in this direction. Member states should be required to ensure that the total annual energy used by all urban wastewater treatment plants on their territory treating a load of 10 000 population equivalent1 and above does not exceed the production of energy from renewable sources.
1 A number expressing the ratio of the sum of the pollution load in wastewater to the individual pollution load in household sewage produced by one person at the same time";
TA1.9;"EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030
Directive (EU) 2023/959";"The decreasing trajectory of the number of CO2 emission allowances is expected to lead to -62% less CO2 emission in 2030 compared to 2005 levels. EU ETS emissions fell by 47% between 2005 and 2022. The most important driver for the decrease in EU ETS emissions has been the power sector, due to a substantial in- crease in renewable electricity production (primarily wind and solar) at the expense of both coal and gas. The system covers the electricity sector, large industry, and since 2012, aviation (initially intra-European Economic Area, with an upcoming extension of scope). Since 1 January 2024, it has been expanded to include the maritime sector [30]. The 2023 greenhouse gas emission projections reported by the Member States to the EEA [15], [22] result in a reduction of ETS emissions of 55% to 59% (with existing measures – with additional measures projection) in
the ETS sectors in 2030. While these projections are short of the 62% target, it is important to note that, the ETS being an EU-wide market-based (cap and trade) instrument, this objective is not directly addressed by Member States specific policies and cannot be consistently and comprehensively covered by the individual Member States GHG emission projections.
Given that the ETS instrument is established and operational, and that the nec- essary technologies are both available and affordable, it is anticipated that the target can be achieved.";GHG emissions
TA1.10;"ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005
Directive (EU) 2023/959";"The ETS2 is a new EU-wide cap-and-trade economic instrument that covers the CO2 emissions from the combustion of fuels in road transport, buildings, and other sectors (mainly smaller industries), excluding agriculture. Monitoring starts in 2025, with cap and trade applying from 2027. As such, it overlaps significantly with the ESR in terms of sectors covered, but important differences are that a) it is implemented at the EU level, rather than through Member State-specific policies, and b) it does not cover non-CO2 emissions, many of which are from the hard-to- tackle agricultural sector.
Between 2005 and 2022, the emissions covered by the ETS 2 fell by 16% according to own estimates of the JRC. However, since the ETS2 instrument is newly implemented and official reporting by Member States is not yet available, the progress cannot currently be evaluated.";GHG emissions
TA1.11;"ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste)
Regulation (EU) 2023/857";"The current (2022) reduction is 17% relative to 2005, far from the 40% reduction target set for 2030. Between 2013 and 2020, Member States met or overa- chieved their ESR obligations- with the largest reductions in the buildings and small industry sectors. Emissions are expected to continue decreasing in the com- ing decade due to –among others- source control legislation, such as improved building standards, building renovations, CO2 standards for road vehicles and EU policies on phasing down hydrofluorocarbons (HFC) and other fluorinated gases. Progress in the transport and building sectors faces different challenges. While transport emissions are regulated by EU-wide CO2 emission standards for vehicles (which have a relatively fast turnover rate), renovating the building stock is a more challenging effort, primarily driven by Member States' policies. Therefore, Member States' projections for building emissions significantly lag behind the expected cost-effective rate of reduction [31].
Overall, EU emissions in the sectors covered by the ESR, according to 2023 Member States projections, are expected to fall by 27-32% (with existing and ad- ditional measures, respectively) by 2030 compared to 2005, i.e. 8 -13 percentage points below the 40% target for 2030, with only 6 Member States projected to (over-) achieve their targets [22].
Absolute emissions in the agriculture sector have stagnated since 2010, while agricultural aggregate output has increased, decreasing emission intensity of EU agricultural products by 13%.
Concerning emission reductions, current Member States' projections under the Governance Regulation foresee 2030 emissions with existing measures to be 373 MtCO2e (or -3% compared to 2021) and 359 MtCO2e (or -7 %) with additional measures. The 2030 ‘MIX (55 Euro/t CO2e)’ scenario, used to assess the Fit for 55 targets corresponds to a -7 % decline in the agricultural sector by 2030 compared to 2021, aligning with the Member States ‘with additional measures’ scenario. The current (2023-2027) CAP aims to contribute to climate mitigation, with Member State strategies outlined in their Strategic Plans. Estimates of the CAP 2023-2027 impact on emissions require detailed information on the implementation and effectiveness of farming practices from the CAP instruments, which are currently being evaluated.";GHG emissions
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;"The revised LULUCF regulation sets a target of removing 310 MtCO2e by 2030. The long-term EU forest sink is developing away from this target and jeopard- ising the fulfilment of the overall LULUCF sector target for 2030. Furthermore, natural disturbances are expected to increase with ongoing climate change, with potentially a further reduction of the carbon sink, making the situation even more difficult.
In 2020, the gap between the reported LULUCF emissions in 2016-2018 and the target of -310 MtCO2e for 2030 was -42 MtCO2e for the EU. 2024 shows that this gap has now widened: instead of -42 MtCO2e, the EU needs to improve its LULUCF sink by -80 MtCO2e between 2022 and 2030 to meet the targets. The LULUCF targets will be difficult to achieve unless substantial changes in forest manage- ment are implemented very soon.";GHG removal
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories. The accounting benchmark for the EU is ca. -229 MtCO2e/year for 2021-2025 LULUCF Regulation;"Assessing the distance to the target is difficult. Comparing purely the GHG re- porting from countries for 2021 and 2022, to the accounting benchmark of -229 MtCO2e determined by the delegated act, it looks like the EU is slightly exceeding the accounting benchmark. However, the recalculations of the inventories have increased the net sink historical time series reported by the Member States, and those recalculations will be considered in the accounting. Given the sharp decline of the forest sink driven by increasing harvest levels and natural disturbances, it is likely that the EU will face an overall accounting debit (i.e. not reaching the target) than a credit in the LULUCF sector as a whole.
The reporting for years 2026-2029 will be done in GHG inventories during 2028- 2031.";GHG removal
TA1.15;"Reduce buildings’ greenhouse gas emissions by 60%, by 2030 (compared to 2015), and reach climate neutrality by 2050
A Renovation Wave for Europe";"In 2015 buildings direct GHG emissions were 541 MtCO2e, therefore the target value for 2030 is 216 MtCO2e.
European Climate Neutrality Observatory data shows past progress of 5 MtCO2e between 2016 and 2021. To meet the target, the required annual change between 2021 and 2030 needs to be 7.5 times faster than the past rate of progress. Overall, buildings are responsible for about 40%
of the EU’s total energy consumption, and for 36% of its greenhouse gas emissions from energy (including indirect emissions). Buildings related emissions belonging to fossil fuelled district heating, electric heating and electricity use of heat pumps are covered by EU ETS, while the rest is covered by the ESR.";
TA2.1;"REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030.
REPowerEU";European production capacity is not yet officially monitored, but there are estimates of production of around 23ktH2/year, which is very far away from the target of 10 MtH2/year. Imports are currently non-existent.;
