thematic_area_code;thematic_area;sub_theme;target_code;target_content;sub_theme_justification;target_assessment;
TA1;TA1_Climate ambition;Climate Resilience;TA1.1;Climate Neutrality (2040 target under discussion);This target is also assigned to the Climate Resilience sub-theme as achieving climate neutrality is essential for building a climate-resilient society.;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;This target is assigned to the GHG Reduction sub-theme as it specifically mentions emission reductions in various sectors.;"The ETS2 is a new EU-wide cap-and-trade economic instrument that covers the CO2 emissions from the combustion of fuels in road transport, buildings, and other sectors (mainly smaller industries), excluding agriculture. Monitoring starts in 2025, with cap and trade applying from 2027. As such, it overlaps significantly with the ESR in terms of sectors covered, but important differences are that a) it is implemented at the EU level, rather than through Member State-specific policies, and b) it does not cover non-CO2 emissions, many of which are from the hard-to- tackle agricultural sector.
Between 2005 and 2022, the emissions covered by the ETS 2 fell by 16% according to own estimates of the JRC. However, since the ETS2 instrument is newly implemented and official reporting by Member States is not yet available, the progress cannot currently be evaluated.";
TA1;TA1_Climate ambition;GHG Reduction;TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);This target is assigned to the GHG Reduction sub-theme as it mentions an EU-wide reduction in greenhouse gas emissions.;"The current (2022) reduction is 17% relative to 2005, far from the 40% reduction target set for 2030. Between 2013 and 2020, Member States met or overa- chieved their ESR obligations- with the largest reductions in the buildings and small industry sectors. Emissions are expected to continue decreasing in the com- ing decade due to –among others- source control legislation, such as improved building standards, building renovations, CO2 standards for road vehicles and EU policies on phasing down hydrofluorocarbons (HFC) and other fluorinated gases. Progress in the transport and building sectors faces different challenges. While transport emissions are regulated by EU-wide CO2 emission standards for vehicles (which have a relatively fast turnover rate), renovating the building stock is a more challenging effort, primarily driven by Member States' policies. Therefore, Member States' projections for building emissions significantly lag behind the expected cost-effective rate of reduction [31].
Overall, EU emissions in the sectors covered by the ESR, according to 2023 Member States projections, are expected to fall by 27-32% (with existing and ad- ditional measures, respectively) by 2030 compared to 2005, i.e. 8 -13 percentage points below the 40% target for 2030, with only 6 Member States projected to (over-) achieve their targets [22].
Absolute emissions in the agriculture sector have stagnated since 2010, while agricultural aggregate output has increased, decreasing emission intensity of EU agricultural products by 13%.
Concerning emission reductions, current Member States' projections under the Governance Regulation foresee 2030 emissions with existing measures to be 373 MtCO2e (or -3% compared to 2021) and 359 MtCO2e (or -7 %) with additional measures. The 2030 ‘MIX (55 Euro/t CO2e)’ scenario, used to assess the Fit for 55 targets corresponds to a -7 % decline in the agricultural sector by 2030 compared to 2021, aligning with the Member States ‘with additional measures’ scenario. The current (2023-2027) CAP aims to contribute to climate mitigation, with Member State strategies outlined in their Strategic Plans. Estimates of the CAP 2023-2027 impact on emissions require detailed information on the implementation and effectiveness of farming practices from the CAP instruments, which are currently being evaluated.";
TA1;TA1_Climate ambition;GHG Removal;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;This target is assigned to the GHG Removal sub-theme as it specifically mentions net greenhouse gas removal.;"The revised LULUCF regulation sets a target of removing 310 MtCO2e by 2030. The long-term EU forest sink is developing away from this target and jeopard- ising the fulfilment of the overall LULUCF sector target for 2030. Furthermore, natural disturbances are expected to increase with ongoing climate change, with potentially a further reduction of the carbon sink, making the situation even more difficult.
In 2020, the gap between the reported LULUCF emissions in 2016-2018 and the target of -310 MtCO2e for 2030 was -42 MtCO2e for the EU. 2024 shows that this gap has now widened: instead of -42 MtCO2e, the EU needs to improve its LULUCF sink by -80 MtCO2e between 2022 and 2030 to meet the targets. The LULUCF targets will be difficult to achieve unless substantial changes in forest manage- ment are implemented very soon.";
TA1;TA1_Climate ambition;GHG Reduction;TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions  from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;This target is assigned to the GHG Reduction sub-theme as it mentions limiting greenhouse gas emissions.;"Assessing the distance to the target is difficult. Comparing purely the GHG re- porting from countries for 2021 and 2022, to the accounting benchmark of -229 MtCO2e determined by the delegated act, it looks like the EU is slightly exceeding the accounting benchmark. However, the recalculations of the inventories have increased the net sink historical time series reported by the Member States, and those recalculations will be considered in the accounting. Given the sharp decline of the forest sink driven by increasing harvest levels and natural disturbances, it is likely that the EU will face an overall accounting debit (i.e. not reaching the target) than a credit in the LULUCF sector as a whole.
The reporting for years 2026-2029 will be done in GHG inventories during 2028- 2031.";
TA1;TA1_Climate ambition;GHG Reduction;TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);This target is assigned to the GHG Reduction sub-theme as it mentions limiting greenhouse gas emissions.;;
TA1;TA1_Climate ambition;GHG Reduction - Buildings;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;This target is assigned to the GHG Reduction - Buildings sub-theme as it specifically mentions reducing greenhouse gas emissions from buildings.;"In 2015 buildings direct GHG emissions were 541 MtCO2e, therefore the target value for 2030 is 216 MtCO2e.
European Climate Neutrality Observatory data shows past progress of 5 MtCO2e between 2016 and 2021. To meet the target, the required annual change between 2021 and 2030 needs to be 7.5 times faster than the past rate of progress. Overall, buildings are responsible for about 40%
of the EU’s total energy consumption, and for 36% of its greenhouse gas emissions from energy (including indirect emissions). Buildings related emissions belonging to fossil fuelled district heating, electric heating and electricity use of heat pumps are covered by EU ETS, while the rest is covered by the ESR.";
TA1;TA1_Climate ambition;GHG Reduction;TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;This target is also assigned to the GHG Reduction sub-theme as it mentions reducing greenhouse gas emissions.;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;This target is assigned to the Methane sub-theme as it specifically mentions reducing methane emissions.;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;manual choice;"The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level. Specific legislation covering different sectors translates this into sectoral ambition levels which cumulatively achieve the -55% target. This corresponds to greenhouse gas reductions of 62% in the existing ETS compared to 2005, a 40% reduction in ESR, (this is now complemented by 42% reduction target compared to 2005 in the newly established ETS2). With the aim of ensuring strong emissions reduction in other sectors, the overall contribution of the LULUCF sector to EU’s economy-wide target of − 55% by 2030 is limited to a maximum of − 225 MtCO2e/year. Achieving the LULUCF sector target of -310 MtCO2e in 2030 will elevate the total EU GHG emission reduction to approximately 57% compared to 1990. The total net EU greenhouse gases emissions, including LULUCF, were reduced by 32.5% between 1990 and 2022 [21]. GHG emission reductions need to double in the current decade compared to the previous decades (see charts in the annexes).
According to the Member States’ own projections reported in 2023 under Article 18 of the Governance of the Energy Union Regulation, total EU emissions are expected to fall in 2030 by about 50% below the 1990 level when factoring in additional measures. This falls short of the at least 55% objective, but the Member States projections do not accurately capture the evolution driven by EU-wide instruments such as the ETS.
Reaching the -55 % objective further depends on delivery of ESR, which is not fully on track, as well as the related functioning of ETS2. In addition, the -55% objective assumes that the LULUCF sink is at least -225 MtCO2e. The agreed LULUCF commitment of -310 MtCO2e could even achieve -57%. However, the current development of the LULUCF sink is opposite to the targets, including natural disturbances that are expected to further increase with the ongoing climate change [27], [28]. If this negative development continues, the risk of not reaching the sink of –225 MtCO2 cannot be ruled out.
On the other hand, the implementation of the complete Fit for 55 legislative package is expected to reduce EU net greenhouse gas emissions by 57% by 2030, putting EU on track to exceed 2030 targets [29].
On the way to climate neutrality by 2050, the Commission adopted a Communica- tion [23] in February 2024 that launches the process of setting the 2040 climate target for the EU, in compliance with Art. 4.3 of the Climate Law. While 2040 targets are not yet set, it is clear that much of the transition to 2050 has to be realised
by 2040. Based on the recommended emission reductions of 90-95 % by 2040 compared to 1990, of the European Scientific Advisory Board on Climate Change advised, the Commission has recommended a net 90% GHG reduction target for 2040.
Both 2040 and 2050 targets require a much deeper transformation of the energy system, through large scale deployment of climate-neutral technologies that require high investment efforts with some technologies not yet deployed at market scale. While some of the current instruments will keep delivering reductions well beyond 2030 (notably the EU ETS but also CO2 standards for vehicles, ReFuelEU Aviation, FuelEU Maritime and the Fluorinated gas (F-gas) Regulation), there will be a need
to review, update and complete the legislative framework for the post-2030 period. This will include topics such as carbon capture, industrial carbon removals, and overall and sector specific emission reduction trajectories. In addition, larger emis- sion reductions in difficult-to-abate sectors like agriculture will be needed, along with a larger role for carbon removals, including utilising land as a carbon sink.";
