;target_code;target_assessment
0;TA1.3;"The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level. Specific legislation covering different sectors translates this into sectoral ambition levels which cumulatively achieve the -55% target. This corresponds to greenhouse gas reductions of 62% in the existing ETS compared to 2005, a 40% reduction in ESR, (this is now complemented by 42% reduction target compared to 2005 in the newly established ETS2). With the aim of ensuring strong emissions reduction in other sectors, the overall contribution of the LULUCF sector to EU’s economy-wide target of − 55% by 2030 is limited to a maximum of − 225 MtCO2e/year. Achieving the LULUCF sector target of -310 MtCO2e in 2030 will elevate the total EU GHG emission reduction to approximately 57% compared to 1990. The total net EU greenhouse gases emissions, including LULUCF, were reduced by 32.5% between 1990 and 2022 [21]. GHG emission reductions need to double in the current decade compared to the previous decades (see charts in the annexes).
According to the Member States’ own projections reported in 2023 under Article 18 of the Governance of the Energy Union Regulation, total EU emissions are expected to fall in 2030 by about 50% below the 1990 level when factoring in additional measures. This falls short of the at least 55% objective, but the Member States projections do not accurately capture the evolution driven by EU-wide instruments such as the ETS.
Reaching the -55 % objective further depends on delivery of ESR, which is not fully on track, as well as the related functioning of ETS2. In addition, the -55% objective assumes that the LULUCF sink is at least -225 MtCO2e. The agreed LULUCF commitment of -310 MtCO2e could even achieve -57%. However, the current development of the LULUCF sink is opposite to the targets, including natural disturbances that are expected to further increase with the ongoing climate change [27], [28]. If this negative development continues, the risk of not reaching the sink of –225 MtCO2 cannot be ruled out.
On the other hand, the implementation of the complete Fit for 55 legislative package is expected to reduce EU net greenhouse gas emissions by 57% by 2030, putting EU on track to exceed 2030 targets [29].
On the way to climate neutrality by 2050, the Commission adopted a Communica- tion [23] in February 2024 that launches the process of setting the 2040 climate target for the EU, in compliance with Art. 4.3 of the Climate Law. While 2040 targets are not yet set, it is clear that much of the transition to 2050 has to be realised
by 2040. Based on the recommended emission reductions of 90-95 % by 2040 compared to 1990, of the European Scientific Advisory Board on Climate Change advised, the Commission has recommended a net 90% GHG reduction target for 2040.
Both 2040 and 2050 targets require a much deeper transformation of the energy system, through large scale deployment of climate-neutral technologies that require high investment efforts with some technologies not yet deployed at market scale. While some of the current instruments will keep delivering reductions well beyond 2030 (notably the EU ETS but also CO2 standards for vehicles, ReFuelEU Aviation, FuelEU Maritime and the Fluorinated gas (F-gas) Regulation), there will be a need
to review, update and complete the legislative framework for the post-2030 period. This will include topics such as carbon capture, industrial carbon removals, and overall and sector specific emission reduction trajectories. In addition, larger emis- sion reductions in difficult-to-abate sectors like agriculture will be needed, along with a larger role for carbon removals, including utilising land as a carbon sink."
1;TA1.1;
2;TA1.10;"The ETS2 is a new EU-wide cap-and-trade economic instrument that covers the CO2 emissions from the combustion of fuels in road transport, buildings, and other sectors (mainly smaller industries), excluding agriculture. Monitoring starts in 2025, with cap and trade applying from 2027. As such, it overlaps significantly with the ESR in terms of sectors covered, but important differences are that a) it is implemented at the EU level, rather than through Member State-specific policies, and b) it does not cover non-CO2 emissions, many of which are from the hard-to- tackle agricultural sector.
Between 2005 and 2022, the emissions covered by the ETS 2 fell by 16% according to own estimates of the JRC. However, since the ETS2 instrument is newly implemented and official reporting by Member States is not yet available, the progress cannot currently be evaluated."
3;TA1.10;"The ETS2 is a new EU-wide cap-and-trade economic instrument that covers the CO2 emissions from the combustion of fuels in road transport, buildings, and other sectors (mainly smaller industries), excluding agriculture. Monitoring starts in 2025, with cap and trade applying from 2027. As such, it overlaps significantly with the ESR in terms of sectors covered, but important differences are that a) it is implemented at the EU level, rather than through Member State-specific policies, and b) it does not cover non-CO2 emissions, many of which are from the hard-to- tackle agricultural sector.
Between 2005 and 2022, the emissions covered by the ETS 2 fell by 16% according to own estimates of the JRC. However, since the ETS2 instrument is newly implemented and official reporting by Member States is not yet available, the progress cannot currently be evaluated."
4;TA1.11;"The current (2022) reduction is 17% relative to 2005, far from the 40% reduction target set for 2030. Between 2013 and 2020, Member States met or overa- chieved their ESR obligations- with the largest reductions in the buildings and small industry sectors. Emissions are expected to continue decreasing in the com- ing decade due to –among others- source control legislation, such as improved building standards, building renovations, CO2 standards for road vehicles and EU policies on phasing down hydrofluorocarbons (HFC) and other fluorinated gases. Progress in the transport and building sectors faces different challenges. While transport emissions are regulated by EU-wide CO2 emission standards for vehicles (which have a relatively fast turnover rate), renovating the building stock is a more challenging effort, primarily driven by Member States' policies. Therefore, Member States' projections for building emissions significantly lag behind the expected cost-effective rate of reduction [31].
Overall, EU emissions in the sectors covered by the ESR, according to 2023 Member States projections, are expected to fall by 27-32% (with existing and ad- ditional measures, respectively) by 2030 compared to 2005, i.e. 8 -13 percentage points below the 40% target for 2030, with only 6 Member States projected to (over-) achieve their targets [22].
Absolute emissions in the agriculture sector have stagnated since 2010, while agricultural aggregate output has increased, decreasing emission intensity of EU agricultural products by 13%.
Concerning emission reductions, current Member States' projections under the Governance Regulation foresee 2030 emissions with existing measures to be 373 MtCO2e (or -3% compared to 2021) and 359 MtCO2e (or -7 %) with additional measures. The 2030 ‘MIX (55 Euro/t CO2e)’ scenario, used to assess the Fit for 55 targets corresponds to a -7 % decline in the agricultural sector by 2030 compared to 2021, aligning with the Member States ‘with additional measures’ scenario. The current (2023-2027) CAP aims to contribute to climate mitigation, with Member State strategies outlined in their Strategic Plans. Estimates of the CAP 2023-2027 impact on emissions require detailed information on the implementation and effectiveness of farming practices from the CAP instruments, which are currently being evaluated."
5;TA1.12;"The revised LULUCF regulation sets a target of removing 310 MtCO2e by 2030. The long-term EU forest sink is developing away from this target and jeopard- ising the fulfilment of the overall LULUCF sector target for 2030. Furthermore, natural disturbances are expected to increase with ongoing climate change, with potentially a further reduction of the carbon sink, making the situation even more difficult.
In 2020, the gap between the reported LULUCF emissions in 2016-2018 and the target of -310 MtCO2e for 2030 was -42 MtCO2e for the EU. 2024 shows that this gap has now widened: instead of -42 MtCO2e, the EU needs to improve its LULUCF sink by -80 MtCO2e between 2022 and 2030 to meet the targets. The LULUCF targets will be difficult to achieve unless substantial changes in forest manage- ment are implemented very soon."
6;TA1.13;"Assessing the distance to the target is difficult. Comparing purely the GHG re- porting from countries for 2021 and 2022, to the accounting benchmark of -229 MtCO2e determined by the delegated act, it looks like the EU is slightly exceeding the accounting benchmark. However, the recalculations of the inventories have increased the net sink historical time series reported by the Member States, and those recalculations will be considered in the accounting. Given the sharp decline of the forest sink driven by increasing harvest levels and natural disturbances, it is likely that the EU will face an overall accounting debit (i.e. not reaching the target) than a credit in the LULUCF sector as a whole.
The reporting for years 2026-2029 will be done in GHG inventories during 2028- 2031."
7;TA1.14;
8;TA1.15;"In 2015 buildings direct GHG emissions were 541 MtCO2e, therefore the target value for 2030 is 216 MtCO2e.
European Climate Neutrality Observatory data shows past progress of 5 MtCO2e between 2016 and 2021. To meet the target, the required annual change between 2021 and 2030 needs to be 7.5 times faster than the past rate of progress. Overall, buildings are responsible for about 40%
of the EU’s total energy consumption, and for 36% of its greenhouse gas emissions from energy (including indirect emissions). Buildings related emissions belonging to fossil fuelled district heating, electric heating and electricity use of heat pumps are covered by EU ETS, while the rest is covered by the ESR."
9;TA1.16;
10;TA1.16;
11;TA2.1;European production capacity is not yet officially monitored, but there are estimates of production of around 23ktH2/year, which is very far away from the target of 10 MtH2/year. Imports are currently non-existent.
12;TA2.10;"Innovative technologies are defined as those that improve in at least one way comparable state-of-the-art renewable energy technologies or make exploitable a largely untapped renewable energy resource, involving a clear degree of risk,
in technological, market or financial terms, which is higher than the risk generally associated with comparable non-innovative technologies or activities. According to the Association of European Renewable Energy Research Centers (EUREC)
[73], the EU’s industry is ready, in the right circumstances, to deploy innovative renewable energy technologies to a level likely to exceed 5%, including innovative technologies such as advanced photovoltaics, floating photovoltaics, concentrated solar power and solar thermal."
13;TA2.11;Joint projects allow for a cost-efficient deployment of renewable energy across Europe and contribute to market integration. Despite its potential, cooperation between Member States has been very limited, thus leading to suboptimal results in terms of efficiency in increasing renewable energy. There are a few projects under consideration and being planned, as well as some permitting and under construction. However, these are in localised areas across the EU and not homogeneously distributed between Member States.
14;TA2.12;
15;TA2.13;"The share of energy from renewable sources used in transport in the EU reached 9.6 % in 2022, up from 9.1% in 2021. Acceleration is needed to reach the 2030 target. Following a sharp 13.5% drop in transport related GHG emissions between 2019 and 2020, due to the COVID-19 pandemic, according to European Environ- ment Agency (EEA) data, they surged upwards (by 8.6%) between 2020 and 2021 from 720.2 to 782.1 Mt (million tonnes) and the EEA forecasts a further 2.7% increase for 2022, which would restore emission levels to above the 800-Mtonne threshold (803.2 Mt in 2022).
CO2 emissions account for almost all transport related GHG emissions (98.9% in 2021) and far outstrip those of nitrous oxide (N2O) (0.9% in CO2 equivalent units) and methane (0.2% in CO2 equivalent units)."
16;TA2.14;"Energy for heating and cooling makes up around half of the EU’s total gross final energy consumption. The annual average increases would lead to a target of 32.48% share by 2030. In 2022, the share of energy from renewables in heating and cooling continued to rise, with the EU average standing at 24.8%, up 1.8 percentage points from 2021 (23.0%). However, the 2022 value is still below the expected annual average. In absolute terms, the gross final consumption
of renewable energy for heating and cooling purposes in the EU has gradually increased over time, mostly due to the contribution of biomass and heat pumps. However, a major push is required to meet the 2030 target.
Sweden led the way when it came to renewables in heating and cooling, with a 69.3% share, followed by Estonia (65.4%). Both countries use mostly biomass and heat pumps. They are followed by Latvia (61.0%), which relies mostly on biomass."
17;TA2.15;Two Member States (Malta and Sweden) have already reached their 2030 target. 18 Member States have achieved the 2022 target of 18%. However, in 2021, 10 Member States experienced a decline in their share respect their 2020 value. This occurred as well for seven Member States in 2022, nevertheless, two of them have still met their 2022 targets despite the decrease. The EU jointly has reached the 2022 sub-target.
18;TA2.16;A 1.6 percentage point annual increase leads to a 26% share of renewables by 2030. The share of renewables in 2022 was 10.7%, an increase from 9.7% in 2020. In absolute values, this is an increase from 23.3 Mtoe in 2021 to 24.1 Mtoe in 2022 Acceleration is needed to reach the 2030 target.
